newsid	title	itemid
N4247	The keto diet is hard work   but this hack makes it so much easier	2446
N2937	Life expectancy for American men keeps dropping	1431
N49302	Crowder hits 3-pointer as expires in OT, Grizzlies top Nets	2960
N49475	Woman Finds A Giant Wild Snake Just Chilling In Her Bed	2967
N36440	These Weight Loss Before and After Photos Are Just the Motivation We Need	1984
N42208	U.S. Marshals Auctioning Off 149 Vehicles From DC Solar Scam	2423
N60474	Yes, You Can Totally Order A Keto-Friendly Meal Off The Panera Menu	3779
N18873	The Permian Basin is facing its biggest threat yet	671
N12421	Man gets 20 years for kidnapping, assaulting elderly couple	175
N5486	5 bad money habits you're probably guilty of and how to break them	3388
N61196	President Donald Trump greeted with boos at Game 5 of World Series, fans chant 'lock him up'	3846
N63112	Elle Germany apologizes for race coverage in latest issue fans call 'highly insulting'	3990
N36142	Family of boy killed in Moreno Valley school fight files wrongful death claim against school district	1958
N14952	The Best Value Meal Deals at 50 Chains Across the Country	386
N32320	Trooper pulls over to save flag on highway	1676
N47518	Cold air stretches across much of the US as California fire conditions recede	2811
N51257	Today in History: November 6	3087
N47082	1 Person Killed In Bucks County Car Crash	2777
N44272	Diner Injured After Car Drives Through Front Window Of Restaurant	2573
N44559	Photo of emotional nurse after 'particularly hard day' goes viral	2595
N51184	Kyoto's Gion neighborhood cracks down on photography	3081
N55576	18 things to avoid at the dollar store	3438
N59231	11 Exercises and Workouts Mark Wahlberg Trains With to Stay in Top Shape	3685
N58113	"National Rifle Association Responds to Democratic Victory in Virginia, Warns of ""Life Under a Distant Tycoon's Thumb"""	3619
N16479	40 years ago: Seahawks play the NFL's worst game ever in loss to Rams, totaling -7 yards	499
N10617	Billionaire Jack Ma challenges Floyd Mayweather to a fight	43
N15288	Ex-manager sues Starbucks for firing after arrest of 2 black men	408
N46353	VIDEO: Black Cat Interrupts Giants and Cowboys on Monday Night Football	2713
N50455	The Unraveling of Donald Trump	3033
N30662	This waterfront city is the top place in America to retire	1529
N40448	New images capture missing college student on night she vanished	2303
N22163	17 Super Clever Ways for Getting Rid of Junk	913
N48904	Every Russian National Should Be 'Extremely Careful' When Traveling to the U.S., Says Ambassador	2926
N62471	Trent Williams fails physical, experiencing discomfort with helmet	3933
N16030	Why Baristas All Over the Country Are Telling Each Other Their Salaries	465
N52921	Best Ski Resorts in the US	3231
N36934	Francis Ford Coppola's Slam on Marvel Films Fuels Debate Sparked by Martin Scorsese	2026
N59761	Trailer - Autonomy	3724
N10872	Man drops to knee to propose; little girl drops pumpkins!	57
N55948	Rand Paul blocks Senate resolution backing protection for whistleblowers	3469
N42435	Pete Davidson Spotted in New York City on Second Outing with Model Kaia Gerber	2443
N53354	You can rent Barbie's Malibu Dreamhouse for $60 per night	3277
N23035	Ben Affleck's Relapse Shows How Difficult Alcoholism Recovery Really Is	978
N38923	The Grateful Dead's Bob Weir Is Unbelievably Shredded at 72	2188
N20792	Under Armour founder Kevin Plank to step down as CEO	819
N15528	Vicki Gunvalson Withdraws Defamation Lawsuit Against Kelly Dodd	430
N32483	Mad About You Star Helen Hunt Taken to Hospital After Car Is T-Boned and Rolls Over in Accident	1687
N37131	What recent history tells us to expect from World Series Game 7	2042
N10313	House withdraws subpoena for former National Security Council deputy Charles Kupperman	22
N29736	Chinese ship leaves Vietnam's waters after disputed South China Sea surveys	1458
N55588	The Best Things to Add to Your Home For Fall Décor	3440
N1864	Texas' Best-Kept Secret: The Second-Largest Canyon in the U.S.	651
N57551	The Royal Tiaras Are Out in Full Force at Emperor Naruhito's Enthronement Celebration	3581
N26481	Lawyer: Trump's phone records back details of woman's claim	1214
N26714	Jennifer Aniston and Ellen DeGeneres Share a Pleasant TV Kiss: 'You Have Such Soft Lips'	1235
N33024	MLB free-agent rumors: Braves making Madison Bumgarner a priority, report says	1738
N45993	Daniel Craig Defends 'Fleabag' Star Phoebe Waller-Bridge As The New James Bond Writer	2680
N24142	Road worker dead, three others injured after being hit by drunk driver near Concord Mills Mall	1061
N58443	Bill Taylor testimony: Bolton thought Trump-Zelensky call would be 'disaster'	3639
N15511	Jimmy Butler on being pulled into Embiid-Towns fight online: 'I like it' (VIDEO)	428
N51819	Dam Collapse at Siberian Gold Mine Leaves at Least 15 Dead	3136
N51616	Plaschke: USC's debacle against Oregon is final nail in coach Clay Helton's coffin	3117
N26201	Iraqi security officials say 2 rockets fired into Baghdad's fortified Green Zone area, 1 soldier killed	1194
N296	A Las Vegas Penthouse You Can't See Without Betting $1M	1450
N2663	16 sentenced to death for burning alive Bangladesh teen	1229
N24691	Bill Macy, Bea Arthur's Husband on 'Maude,' Dies at 97	1103
N16421	Jimmy Garoppolo, 49ers find new offensive gear in win over Cardinals	493
N53400	Winners, losers from the Nationals' dominating Game 2 win	3279
N3183	Why Greg Hardy thought it was OK to use an inhaler during his fight	1633
N12909	Apologetic Son happy to show 'right response' after Gomes injury	213
N23119	Jim Carrey and Ginger Gonzaga Split After Less Than a Year of Dating	988
N36247	Jaw-Dropping Photo of a Little Girl Who Supposedly Ate 18 Yogurts Is Going Viral	1965
N14888	The costume fits: 49ers are Super Bowl contenders	379
N16666	The Latest: Homes burn in Los Angeles wildfire	510
N38962	Texas man executed in 2002 strangulation	2191
N52883	"Meghan Markle's Makeup Artist Daniel Martin Said Seeing Her Emotional Interview Was a ""Relief"""	3228
N46616	The best sandwich shop in every US state and DC	2731
N14865	Fact-checking Elizabeth Warren's Medicare-for-all plan	378
N26948	Biden drops to fourth among Iowa Democrats, new poll shows	1252
N24917	What Tuesday's elections could tell us a year before Trump faces voters	1117
N49362	They paid $800 a month to live without water or power in an abandoned L.A. church	2964
N5607	There's Only One Right Way to Clean a Cast-Iron Skillet	3474
N19968	We Tried Krispy Kreme's New Pie Donuts This Was the Best One	762
N8968	Auction of Anthony Bourdain's belongings fetches nearly $2 million	4339
N63991	George Conway Says Giuliani's Tweet Alone Proves Trump 'Committed an Impeachable Offense' As Giuliani Lawyers Up	4064
N52500	Walmart's Pre-Holiday Deals Are Live Right Now	3196
N12808	'People come for the selfies but won't pay $2 for pizza'	203
N3077	Giannis Antetokounmpo had hilarious quote about crooked rim	1541
N52486	'Do your job!': Kentucky Sen. Rand Paul demands media reveal whistleblower's identity	3194
N5317	Predicting the Cy Young and MVP Winners in MLB	3253
N27567	Kohl's drops Black Friday sale ad with early doorbusters and $15 Kohl's Cash deal	1297
N1328	Emilia Clarke Sparkled at the Last Christmas Premiere - Purple Nail Polish Included	239
N42730	Giants reportedly narrow manager search to three finalists, including ex-Phillies skipper Gabe Kapler	2465
N43807	Hikers Find Mystery Skeleton on Remote Mountain in California	2549
N3053	France's LVMH Seeks To Buy Jeweler Tiffany For $14.5 Billion	1521
N1820	Not out of woods yet, but winds driving California fires die	619
N56024	Mega-rally marks Chile protests third week as president struggles	3472
N20101	The world's most profitable company pays surprisingly little	778
N16233	Felicity Huffman Is Scheduled to Be Released from Prison on October 27 After Serving 13 Days	476
N6009	This Holiday Turkey Pie is perfect for Friendsgiving	3752
N19435	Miley Cyrus and Cody Simpson Pack on the PDA as She Helps Him Get Ready for Halloween	710
N23059	Predicting the College Football AP Top 25 Poll for Week 11: Georgia Climbs After Big Win	981
N7520	Clippers resting Kawhi Leonard for nationally televised game at Jazz	4240
N63692	China launches high-res satellite able to provide stereo imagery - CCTV	4038
N30845	Air Force Academy instructor pleads guilty, will have to register as sex offender	1548
N55497	The 3 Things Ina Garten Always Has in Her Freezer	3432
N13257	Trump Wants Defense on Substance, Not Process, of Impeachment	235
N38177	These Detroit-based doggies are up for adoption and in need of a good home	2124
N58518	Former President Jimmy Carter suffers pelvic fracture after falling in Georgia home	3641
N2777	Watch Megyn Kelly Hint at a Comeback in First Interview Since NBC Exit	1312
N47136	NASA Spacecraft Spots A Strange Bright Spot On Jupiter	2781
N12358	Newlyweds Jennifer Lawrence and Cooke Maroney Step Out for the First Time Since Tying the Knot	170
N3124	The world's top 20 trending travel destinations for 2020, according to Airbnb	1584
N28972	Gwen Stefani reflects on her pink hair and braces (and other classic looks)	1404
N6102	24 Throwback Photos of Kendall Jenner That Prove She Was Destined to Model	3828
N42342	Stocks rally to record close after strong October jobs report	2434
N25633	Column: Canelo Alvarez is the king of boxing's wait class	1153
N24243	Patriots reportedly release kicker Mike Nugent	1070
N24667	Haul of Nazi artefacts on display in Argentina mostly fake, expert says	1101
N51457	Restaurants Are Dealing With an Avalanche of Special Requests. One Chef Has Had Enough.	3102
N49639	'We all had a good chuckle': Cowboys' 70-year-old defensive coordinator got his message across vs. Eagles	2975
N17432	Kelly Rowland Shares the Healthy Food She Snacks On All Day	568
N60212	Man dies after stabbing in Maryland Popeyes; fight over chicken sandwich, sources say	3758
N55408	Report: Cam Newton out several more weeks, may go on injured reserve	3427
N31960	Watch Bloodhound LSR Literally Blast To 334 MPH In Under 20 Seconds	1644
N19580	24 of Kim Jong-Un's photo ops	722
N47996	Miller Lite offers free beer for unfollowing them, Natural Light joins in	2856
N20392	CBP Arrests 30 People in 3 Smuggling Attempts Within 24 Hrs	792
N45736	Tom Draper, Black Music Industry Pioneer, Dies at 79	2664
N306	Kevin Spacey Won't Be Charged in Sexual Assault Case After Accuser Dies	1526
N29320	Four victims being treated for serious injuries after Grandin Road crash	1426
N41569	I tried to eat like Kate Middleton for a week, but I couldn't get through it without cheating	2383
N42569	Chick-fil-A is giving the entire state of Utah free food, and it's a brilliant marketing ploy	2452
N34267	Impeachment Inquiry Is Legal, Judge Rules, Giving Democrats a Victory	1818
N32946	A snapshot: Just how good have the Sounders been in the MLS?	1731
N6441	The Pioneer Woman makes 5 of her favorite comfort-food recipes	4096
N52227	Joel Embiid, Karl-Anthony Towns likely facing multi-game bans for roles in brawl	3169
N10608	Golden Tate had everyone making Odell Beckham comparisons after this 1-handed catch	41
N8211	Ravens News 10/21: Week 7 lessons, Lamar's legend and more	4283
N8258	New Hampshire Couple's Adventure Ends in Mysterious Death in Texas	4287
N12388	This laptop has a unique, strange looking keyboard that won't appeal to anyone	172
N30764	Indian capital Delhi gasps under choking smog	1539
N57340	The 25 US cities where it's easiest to get a mortgage	3565
N17463	Democrats unveil procedures for Trump's impeachment inquiry, rebutting GOP attacks	571
N60184	MLB bans women who flashed their chests behind home plate during Game 5 of World Series	3756
N14981	Milwaukee mayor blames President's rhetoric in alleged acid attack	388
N27897	Behind the Deal That Put Giuliani Together With a Dirt-Hunting Partner	1319
N15562	The Cheesecake Factory Is Giving Out FREE Slices Of Reese's And Hershey's Cheesecake For Halloween	432
N44278	Real talk: How freaked should I be about the sugar content in alcohol?	2574
N685	An Alaskan moose hunter beat the odds at the Supreme Court. It cost $1.5 million.	4186
N8231	Health disparities: Why do women live longer than men?	4284
N8331	Melanie Griffith, 62, shows off her insane figure in lingerie selfie, plus more news	4292
N47686	Queen Elizabeth Finally Had Her Dream Photoshoot, Thanks to Royal Dresser Angela Kelly	2831
N4763	10 killed, bodies and buses burned in violent night of 'revenge' in Juárez, Mexico	2825
N8818	This 1969 Lamborghini Miura hidden away in a barn for years just sold for $1.6 million	4327
N61708	Cailtyn Jenner, Khloe Kardashian's relationship remains strained as Caitlyn turns 70, plus more news	3879
N26130	The highlights and lowlights from the world of comedy in the 2010s	1187
N58262	Jessica Simpson's latest Birdie Mae post suggests she's done having kids, plus more news	3629
N47719	40 conservative groups sign ethics complaint against Pelosi	2837
N13797	Man charged with hate crime in racist acid attack	276
N34565	Big VIX Options Trade Braces for a 2008-Like Volatility Surge	1837
N5938	Truck Smashing Into Gas Station Could Be The Dumbest Crash Story Ever	3697
N63656	Model Belle Lucia   Who Was Shamed for Her Small Bump   Shares Her Post-Baby 'Pregnancy Transformation'	4033
N61252	Huracan vs. Huracan? What Makes Lamborghini's New GT3 Evo Race Car So Different	3853
N41139	Markazi: Ex-UCLA gymnast Katelyn Ohashi wonders if her viral moment could have been profitable	2355
N51992	Report: NFL considers allowing a Chargers move to London	3151
N10888	Report: Many NBA executives believe Andre Iguodala will be traded to Lakers	59
N47555	Feds probe international supply chain, link to THC products, as vaping injuries surpass 1,600 and 34 are dead	2814
N29177	Miguel Cervantes' Wife Reveals Daughter, 3, 'Died in My Arms' After Entering Hospice Care	1417
N31381	Tiny Dancer! Allison Holker and Stephen 'tWitch' Boss Welcome a Daughter	1598
N2201	6 Trainers Share Their Top Workout Tips For People New to Fitness	900
N1171	NBA suspends Towns, Embiid 2 games each for 76ers-T-wolves fight	125
N31876	The Steelers 'Bonehead' and 'Genius' decisions of the week, Chargers Edition	1634
N30448	Toyota Dealer in Alabama Selling Slightly Used Supra for $167,000	1513
N50839	Trump back in Louisiana to rally support for GOP gubernatorial candidate	3057
N6948	Here are the economic issues that will define the year until Trump's 2020 reelection bid	4199
N40760	How to Poach An Egg With Confidence And Grace	2331
N30410	Dozens of audio messages reveal a family's struggle to piece together a massacre in Mexico	1511
N4413	Costco unveils holiday savings with early Black Friday deals	2568
N47557	Woman allegedly fakes cancer, receives $10,000 in donations	2816
N3560	Michelle Obama Shows Off Her Abs in New Workout Photo: 'I'm Always Glad I Hit the Gym'	1915
N19823	Harry and Meghan Are 'Bruised and Vulnerable,' Documentary Journalist Says	752
N19706	Navy Reduces Punishment for SEAL in War Crimes Case	739
N20506	Missing Revolutionary War sword may finally be back home	799
N16110	Alec Baldwin sues man who accused actor of punching him over a parking spot in New York	468
N53196	A flight attendant reveals what it takes to work on Emirates' first class	3257
N37814	Amazing houses for sale in surprising places	2103
N60675	"60 of the Most Adorable Animal Pictures That Will Make You Say ""Awww"""	3800
N62538	Loop Trolley gets loan to stay open through December, Bi-State looking into taking over trolley	3936
N48899	3 motorcyclists shot on 110 Freeway in Carson, CHP says	2925
N56403	Finally, An Electric Crate Motor You Can Drop Into Your Old Car	3501
N38166	1-ton boulder known as 'Wizard Rock' that disappeared from forest 'magically' returns	2122
N5145	A Louisiana man decided to steal an electric powered shopping cart from Walmart, police say	3101
N44090	The Rise of Sober Curiosity: Is Life Better Without Alcohol?	2565
N4204	The iconic Motorola walkie-talkie is entering the smartphone age	2411
N22734	Norway arrests US white supremacist ahead of far-right conference	959
N48662	DeVos Bemoans 'Devastating' NAEP Scores, Pushes for 'Education Freedom'	2904
N19506	10-year-old boy shot in back of head, in critical condition in Philadelphia	716
N39200	NH couple found dead in Texas remembered as caring, helpful people	2213
N5661	Evangeline Lilly shows off new shaved head	3515
N12349	Divers Find Giant Mysterious 'Egg' Floating In Ocean	169
N54496	Matt Lauer allegations: Megyn Kelly lauds Meredith Vieira, Ann Curry	3361
N6908	Aston Martin and Brough Superior's AMB 001 is a carbon fiber turbo track bike, but who's it for?	4193
N42025	Southwest Airlines flight attendant: Pilots streamed airplane bathroom video to cockpit	2408
N35510	1st federal opioid crisis trial to focus on distribution	1910
N28702	Green Beret awarded Medal of Honor for saving lives	1378
N53494	Top takeaways from Sunday's Week 7 NFL action	3287
N63574	Frozen Raspberries Recalled for Possible Hepatitis A Contamination	4027
N5301	President Trump says Duchess Meghan takes media scrutiny 'very personally'	3235
N16976	Cubans were once privileged migrants to the United States. Now they're stuck at the border, like everyone else.	531
N48615	Former Rep. Katie Hill's father pushes for prosecution of 'evil' estranged husband	2899
N11354	Antibiotics in Food: Everything You Need to Know	94
N39978	30 Foods That Are Never Worth The Calories	2275
N27352	PG&E Warns of Biggest Blackout Ever as Windstorm Approaches	1283
N36716	In Acid For The Children, Flea thumps and pops his way toward profundity	2005
N58111	Hedge fund billionaire fires back at Warren: 'Your vilification of the rich is misguided'	3618
N36913	'This city is not livable': New Delhi citizens face foul air	2023
N7019	America shockingly owes over $6 trillion to these countries	4203
N52840	Hong Kong crashes into recession as protests hit economy	3224
N5615	Starbucks Isn't Bringing Back The Gingerbread Latte This Holiday Season And Fans Are Furious	3481
N32203	Forde-Yard Dash: This is how bad the playoff picture can get	1662
N1533	Sondland emerges as key target after Vindman testimony	415
N62111	McDonald's celebrates Happy Meal's 40th anniversary by bringing back retro toys	3908
N60919	Sacré bleu, France defeated at World Cheese Awards by American contender	3821
N43028	D.A. seeks murder charge against former Fort Worth officer who fatally shot Atatiana Jefferson	2490
N41804	Exclusive: U.S. withholding $105 million in security aid for Lebanon - sources	2394
N29361	We all 'can get it wrong': Mike Pompeo suggests William Taylor misunderstood Ukraine controversy	1429
N56630	China asks WTO for $2.4 billion sanctions against U.S. in latest clash	3517
N32482	Dez Bryant plans to reach out to NFL teams in two weeks	1686
N9034	Trump, Republicans and impeachment: This time feels different, but maybe it's not	4344
N45663	30 Classic Thanksgiving Recipes That Deserve a Comeback	2657
N30680	40 Happy Meal Toys We'll Never Forget	1531
N56066	Criminal trial for longtime Trump confidant Roger Stone expected to begin this week	3473
N19742	Ukrainian journalists on fear, frustrations reporting in home country	743
N58580	17 Hallmark Movies That Are Totally Worth Watching	3645
N64955	Lady Gaga, Jim Carrey, Christina Hendricks and Pete Davidson are all single again, plus more celeb love life news for late October 2019	4136
N13786	Florida feline could be next 'Grumpy Cat'	275
N6157	Pentagon leader appeals to Trump to allow military justice cases to proceed unfettered	3869
N56290	The Secret Ingredient for Sausage Gravy That's Out of This World	3495
N1267	Poll: Iowa caucuses are 'up for grabs' as Pete Buttigieg surges into top tier	194
N48112	Russian Snipers, Missiles and Warplanes Try to Tilt Libyan War	2862
N7284	Travel, furniture, 'lavish' meals: Nonprofit head misspent $1.7 million, filing alleges	4223
N56889	Latest Australia shark attack sparks tourism concerns	3535
N19429	Ian Ziering and Wife Erin Split After 9 Years of Marriage	708
N43635	Plane collides with pickup truck while landing, pilot killed	2535
N33742	Apple is laying the groundwork for an iPhone subscription	1781
N7125	Caged puppy is rescued from freezing Illinois lake	4212
N29249	The Little-Known Airplane Feature That Could Save Your Life	1422
N41063	Report: Rockets were shocked at how poorly Carmelo Anthony performed in their defensive scheme	2348
N30113	2019 MTV EMA Awards hits and misses	1487
N52097	Mac Engel: As long as these results are acceptable, Dallas Cowboys will continue to be losers	3158
N18532	McDonald's CEO pushed out after relationship with employee	645
N25746	This foreign meat company got US tax money. Now it wants to conquer America.	1162
N55410	Nationwide recall of Xanax due to possible 'foreign substance'	3428
N16256	Want to pray the Rosary? There's an app for that	481
N27202	Scared silly on a Willoughby ghost walk: Mike Polk Jr, Lindsay Buckingham search for paranormal activity at old coal & supply building	1272
N57582	Winners and losers from Week 8 in college football led by Wisconsin, Oregon	3584
N38690	Which state has the most uninsured residents?	2168
N31050	100 Incredible Christmas Tree Decorating Ideas	1567
N20585	Israel's top court clears way for deportation of Human Rights Watch official	803
N40817	Sergeant runs 15K in SWAT gear, saves a life and gets engaged in 1 day	2334
N8254	11 Reasons Disney World Is Even More Magical During the Holidays	4286
N44912	Iran starts injecting uranium gas into centrifuges, further unraveling nuclear accord	2619
N53339	Rachel Weisz to Play Elizabeth Taylor in Biopic From 'King's Speech' Producers	3272
N61342	The Warriors' fall from glory, explained	3857
N25808	21 Frozen Foods You Should Never Put in Your Cart	1167
N30667	Louisville Has One of the Country's Best Spots for Good, Cheap Pasta	1530
N47810	2 murder suspects escape from jail, still on the run	2844
N34140	What's behind the 'mystery surcharge' at some California gas stations?	1808
N32019	Texans-Jaguars rewind: 5 up, 5 down	1652
N26984	Freshman Dem Katie Hill denies improper relationship with aide	1254
N25677	"Ben Affleck Breaks Silence After ""Slip"" In Sobriety"	1156
N35611	Get a free reusable cup Thursday for the first day of Starbucks' holiday season	1919
N10560	What Are Ocular Migraines and How Are They Different from Regular Migraines?	37
N15246	Where Are the High Crimes and Misdemeanors?	406
N20735	Bondy: Zion's durability concerns already becoming a reality	814
N48565	Man found shot in a car in Lake Arbor, Maryland	2889
N21570	The Wizards made a big mistake signing Bradley Beal to an extension	875
N17172	'We'll be fine': Astros confident in World Series comeback against Nationals	545
N23614	John Witherspoon Dies: Comedian & 'Friday' Star Was 77	1027
N25294	Report: MLBPA investigating comment made by Alex Anthopoulos	1136
N58185	China is willing to buy $20 billion worth of US farm goods	3623
N2679	Republicans convene the cult of Trump	1242
N3737	Trailer - Bloodshot	2067
N52027	Ohio teen in wheelchair scores touchdown with help from his teammates	3156
N52363	College Football Playoff's first rankings just the first step in long debate about field	3180
N17799	The Astros-Nationals blockbuster trade that was almost a reality	596
N46107	3-Row SUVs Compared: Explorer, Telluride, Palisade, Enclave, and CX-9	2694
N47615	30 Thanksgiving Casserole Recipes	2824
N50873	'Slender Man' stabbing victim: 'Without the whole situation, I wouldn't be who I am'	3058
N23958	Convicted ex-NFL tight end Kellen Winslow II has CTE symptoms, his attorneys say	1051
N10052	A man is in custody for an acid attack being investigated as a hate crime, bringing some relief to the south side Milwaukee neighborhood	5
N17732	Bulletproof Emmett Till marker replaces vandalized sign	590
N61126	The Rock rolls out $9M for massive, rural Georgia mansion	3836
N19494	Fashion hits and misses for October 2019	714
N61669	Ancient Rhinos Once Roamed Canadian Forests	3875
N35129	Michigan State opens at No. 1 in AP Top 25 preseason poll	1878
N52551	Pamela Anderson gets backlash after wearing a Native American headdress for Halloween	3201
N26598	'Good riddance': New York governor cheers Trump changing residency to Florida	1226
N39334	Santa Anita sees another death as Breeders' Cup looms	2222
N49588	Grey's Recap: Till Death Do Us Part	2972
N37372	Unbeaten Patriots prepare best they can for Ravens' Jackson	2068
N42289	Keke Palmer Says She Turned Down Mike Johnson's Date Offer Because She Felt 'Ambushed'	2428
N8615	'When I smelled that smoke ... here we go again': Weary Californians seek shelter amid latest wildfire outbreak	4319
N3128	Should You Try the Controversial Cabbage Soup Diet? See What Experts Have to Say	1587
N62247	Trump says he told Fox to get a new pollster amid network's 'lousy' polls on support for impeachment	3914
N6156	New Jersey Couple Sues Taco Bell Over Chalupa Prices	3867
N58883	Science reveals 5 ugliest and prettiest cars from last 10 years	3667
N15253	Lou Palmer, ESPN's first 'SportsCenter' anchor, dies at 83	407
N36101	Slow offensive starts   no 1st-half TDs in this 4-game skid   have killed the Bears' mojo	1955
N7436	Questions to Ask a Pain Management Doctor	4238
N19847	Joe Biden calls Trump an 'idiot' for dismissing Russian election interference	756
N31554	This is the Coziest Restaurant Near Minneapolis	1610
N59653	5 signs you're ready to retire	3718
N12863	What caused plane to crash?	209
N8450	2020 Travel Trends: Here's Where Americans Will Be Going	4302
N17070	The Amazing All-You-Can-Eat Restaurant in Every State	537
N14937	PG&E Power Shutoffs Possible In Much Of Bay Area This Week	383
N11506	Joshua Tree National Park turns 25. But what is a Joshua tree?	107
N28766	Paula White, Trump's Personal Pastor, Joins the White House	1382
N37509	A man dies in Hawaii after falling into a lava tube in his yard	2077
N17769	Assistant principal accused of having sexual relationship with students pleads guilty	595
N16736	William Taylor Delivers the Smoking Gun	516
N52395	27 Money Moves to Make Now to Prepare for 2020	3184
N65201	Drawn by the Salary, Women Flock to Trucking	4157
N1542	When Celebs Dressed Up as Other Celebs for Halloween	422
N15159	Baker Mayfield is on an island and Browns should be deeply concerned	399
N22260	Black cat visits field during Cowboys-Giants game on 'Monday Night Football'	916
N2782	50 states, 50 places: The top natural wonder in your state	1316
N41732	CVS rejects Purdue student's Puerto Rican ID, asks for immigration papers to buy cold medicine	2392
N5266	NFL trade deadline: 19 names to keep an eye on as 2019 cutoff for deals nears	3209
N30353	Photographer Crosses Paths With A Black Cat Unlike Any He's Seen Before	1510
N52665	Dancing With the Stars Hands Out Its First Perfect Score of the Season	3210
N45093	High-voltage PG&E power line broke near origin of massive fire in California wine country	2625
N45729	Former Deadliest Catch Star Jerod Sechrist Arrested, Charged with Heroin Possession	2662
N3775	Walter Mercado, Celebrity Astrologer Known for Daily Horoscopes, Dies at 87: 'Truly an Icon'	2094
N36530	Property Brothers' J.D. Scott Marries Annalee Belle in Vintage Theatre-Themed Wedding	1993
N26928	Ava DuVernay Calls Out Academy for Disqualifying Nigeria's First Oscar Submission	1249
N19260	Auburn football players call out their own fans after home win vs. Ole Miss	701
N29228	4 Low-Effort Ways to Keep Your Shower Cleaner	1421
N19347	Former US Senator Kay Hagan dead at 66	704
N49179	Joe Alwyn on Buzz Around Taylor Swift Romance: 'I'll Just Turn it Off'	2948
N29086	Fearsome Sight: Bees Move Into Lion Statue in Perth	1412
N11020	Chicken recall: More than 2 million pounds recalled, may be contaminated with metal	73
N28247	O'Hare breaks ground on final runway extension ahead of $8.5B terminal revamp	1346
N30990	President Jimmy Carter says he's 'at peace' with death during church service	1564
N10053	Millie Bobby Brown Shows Off Her Freckles in Makeup-Free Selfies	6
N31549	"U.S. chides Turkey for ""heading in the wrong direction"" in Syria"	1607
N19237	Peanuts and Candy Corn Is the Best Halloween Combo You're Not Trying (Yet)	699
N23173	The Best Grocery Shopping Tips of All Time	993
N51693	Threats against Ukraine whistleblower's legal team lead to law enforcement investigation	3125
N13231	Homeowner says a mystery object damaged his house. It didn't fall from a plane, FAA says	232
N39235	Florida woman allegedly flees 2 car crashes, kills driver in 3rd crash	2217
N55088	Kevin Harlan had legendary call of black cat on the field during MNF	3407
N32910	A woman's stalker used an app that allowed him to stop, start and track her car	1726
N29276	3 Foods You Should Eat at Breakfast If You Want to Lose Belly Fat, According to a Dietitian	1424
N14741	Kansas City to vote on removing King's name from street	367
N46065	Air Force's mystery space plane lands, ends 2-year mission	2686
N5211	Jets trade DL Leonard Williams to Giants	3161
N43189	Drones Used in Crime Fly Under the Law's Radar	2499
N10414	Robert Evans, 'Chinatown' Producer and Paramount Chief, Dies at 89	29
N49990	Watch: Kevin Harlan's call of streaking cat on 'MNF' is epic	2999
N27644	Dog 'Randomly' Drops By Family Reunion   Then People Check His Collar	1301
N64679	Ivanka Trump and Jared Kushner to host -- and pay for -- 10th anniversary party at Camp David	4121
N36308	Walgreens to shutter in-store clinics, add Jenny Craig sites	1972
N48281	Sleep paralysis: Why we sometimes jerk awake and can't move	2873
N34842	Facing Investigation, Giuliani Needed a Lawyer, but Firms Stayed Away	1852
N44077	Impeachment transcripts reveal a consistent, damaging narrative for Trump	2563
N40323	Just Another Week For Allen	2294
N59118	50 Thanksgiving Appetizer & Dip Recipes That Won't Spoil Your Appetite	3676
N323	Trevor Plouffe and John Farrell Preview and Predict the 2019 World Series	1673
N18094	Michelle Pfeiffer initially blamed herself after #MeToo moment: 'I should've known'	611
N51385	Repair or replace: Here's a rule of thumb for when it's time to break up with your old car	3097
N42677	Judge dismisses Joe Arpaio's lawsuit against CNN, HuffPost, Rolling Stone	2460
N43353	Wedding shooter may have been avenging late stepfather's murder, authorities say	2513
N50204	Syria's Assad says Kurdish controlled northeast Syria must return to state authority	3021
N48276	Pippa Middleton Takes Baby Son to Cranial Osteopath: 'I Was Fascinated to See How Calming It Was'	2872
N42620	Heidi Klum's 2019 Halloween Costume Transformation Is Mind-Blowing   But, Like, What Is It?	2455
N23084	Today in History: November 7	983
N26000	White House Pressed Car Makers to Join Its Fight Over California Emissions Rules	1175
N46023	Willie Brown, Hall of Famer and Raiders legend, dies at 78	2682
N26044	Forde-Yard Dash: 5 best things we've seen this college football season	1179
N54982	Bears' absolutely disastrous first half brings plenty of ridicule on Twitter	3396
N4770	Giuliani Is Drawing Attention to Hunter Biden's Work in Romania. But There's a Problem.	2835
N39778	14 Parenting Rules the Royals Have to Follow	2262
N38712	Xi Zeroes In on Trump Trade Deal as China Acts to Steady Markets	2170
N14990	25 poorest countries in the world	389
N39900	EU ambassador's miraculous 'now I remember' moment	2271
N57737	Missing Minnesota boy, 6, and his dog, found in cornfield by drone with thermal camera	3592
N63761	NFL Week 10 Power Rankings: Even historically great defenses can have bad weeks	4046
N5019	Winners, losers from Cowboys' win over Giants on 'Monday Night Football'	3019
N63131	NCAA poised to move toward allowing athletes to make money	3991
N19448	Ezekiel Elliott: There are backs who have played better than me this year	711
N53531	Lori Loughlin Is Facing New Charges in the College Admissions Scandal	3291
N51270	Trump wanted Barr to hold news conference saying the president broke no laws in call with Ukrainian leader	3088
